core_mpan,reg_st_dt,cust1_cust_nm,SIC_CODE,bill_addr,bill_pcode,cust1_phon1_num,E-Mail 1,ESIQS_TLUPSTAFF_NAME,id_crac,site_addr1,site_addr2,site_addr3,site_addr4,site_pcode,nm_ibpt,MBC_STATUS_ID,SHORT_DESCRIPTION,CONTRACTSTARTDATE,CONTRACTENDDATE,NOTIONALENDDATE,sp_descr,id_proc,id_sstc,MSN,mtr_mod,amr_type,mtr_inst_dt,depot,id_blfr1,mtr_typ,cd_pmet,pp,LATEST_RAG_STATUS,mop,map,dc,dr,sum_eac,sum_aa,cs_or,msn_count,mpan_status,msn_change,profile_data,Rejected_D10,Accepted_D10,Accepted_D313,D10 (Aug),D10 (July),D10 (June),D10 (May),D10 (Apr),D10 (March),previous_capability,funnel_capability,current_capability
4.36421E+12,23-02-18,Mario's Quality Fish & Octopus,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMY,03-10-16,Luton North Depot,QT,S2 LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,Yes,No,Yes,No,No,No,No,No,No,No,,SMETS2 Capable,
7.82175E+12,12-08-18,Radium Didcot t/a River Café,,River Caf‚ 5  High Street BEDFORD ,MK40 1RN,                       , ,Quote Production,112171841,River Caf‚,5  High Street,BEDFORD,,MK40 1RN,SME - Southern Electric       ,M,Normal,01-08-18,31-07-22,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29686,EDMI Mk10D,RCAMY,23-09-16,Luton North Depot,QT,S2 LV Whole current,, ,G,ACCU,Macquarie Leasing Limited (MLLA) - NHHMAP Accredited Role,ACCU,,95432.7,116588.7,,2,GAIN,FALSE,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,,SMETS2 Capable,
8.16712E+12,23-02-18,Mario's Quality Fish & Octopus,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMY,03-10-16,Luton North Depot,QT,S2A LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,No,Yes,No,No,No,No,No,No,No,,SMETS2 Capable,
3.81048E+12,23-02-18,Mario's Quality Fish & Octopus,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMY,03-10-16,Luton North Depot,QT,S2A LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,No,Yes,No,No,No,No,No,No,No,,SMETS2 Capable,
3.46939E+12,23-02-18,Mario's Quality Fish & Octopus,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMY,03-10-16,Luton North Depot,QT,S2AD LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,No,No,No,No,No,No,No,No,No,,SMETS2 Capable,
8.10312E+12,23-02-18,Mario's Quality Fish & Octopus,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMY,03-10-16,Luton North Depot,QT,S2AD LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,No,Yes,No,No,No,No,No,No,No,,SMETS2 Capable,
1.13427E+12,23-02-18,Tesco Extra,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMY,03-10-16,Luton North Depot,QT,S2ADE LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,Yes,No,No,No,No,No,No,No,No,,SMETS2 Capable,
5.74255E+12,23-02-18,Tesco Extra,,22-24  High Street BEDFORD  ,MK40 1SP,01234 938551           ,mariogrossi12@gmail.com,Laura Poole,147950141,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29681,EDMI MK7B LVWC,RCAMR,03-10-16,Luton North Depot,QT,S2ADE LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,Yes,Yes,No,No,No,No,No,No,No,,SMETS2 Capable,
7.73413E+12,24-02-18,Tesco Extra,,22-24  High Street BEDFORD  ,MK40 1SP,1235 938551           ,mariogrossi12@gmail.com,Laura Poole,147950142,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29682,EDMI MK7B LVWC,RCAMV,04-10-16,Luton North Depot,QT,S1 LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,No,No,Yes,No,No,No,No,No,No,No,,SMETS1 Compliant,
6.43168E+12,25-02-18,Tesco Extra,,22-24  High Street BEDFORD  ,MK40 1SP,1236 938551           ,mariogrossi12@gmail.com,Laura Poole,147950143,22-24  High Street,BEDFORD,,,MK40 1SP,SME - Southern Electric       ,M,Normal,01-05-18,30-04-20,,CQ4 Night/Evening/Weekend (2T),4,325,E11Z29683,EDMI MK7B LVWC,RCAMY,05-10-16,Luton North Depot,QT,S1 LV Whole current,, ,G,UKDC,Foresight Metering Ltd (UFUN) - NHHMAP Accredited Role,SOUT,UKDC,127433.4,110272.8,,1,GAIN,FALSE,Yes,No,No,No,No,No,No,No,No,No,,SMETS1 Compliant,
